term_months,rank,institution,kind,state,apy_pct,min_deposit,promotion,product_note,fdic_cert,ncua_charter,remote_opening,nonresident_eligible,cu_membership_open_nationwide,early_withdrawal_penalty,source_url,read_note,date_checked
6,106,Ocean Bank,bank,FL,3.50,,no,,24156,,yes,"yes, through a separate international CD whose rate is not published",,There will be a penalty for early withdrawals on CDs.,https://www.oceanbank.com/,,2026-09-24
6,106,Technology Credit Union,credit_union,CA,3.50,,no,,,68383,not stated,not stated,not stated,Penalties will be imposed for early withdrawals.,https://www.techcu.com/Resources/Rates,,2026-09-24
6,112,"Great Midwest Bank, S.S.B.",bank,WI,3.45,2500,no,,29657,,not stated,not stated,,A penalty may exist for early withdrawal on all Certificates of Deposit accounts and IRAs.,https://greatmidwestbank.com/bank-account/cds-iras/,,2026-09-24
6,112,"RockPointBank, National Association",bank,TN,3.45,,yes,,59206,,not stated,not stated,,A penalty may be imposed for early withdrawals.,https://www.rockpoint.bank/personal/rockpoint-cd-specials,,2026-09-24
6,114,Great North Bank,bank,WI,3.43,,no,,15146,,not stated,not stated,,Early withdrawal penalties may apply.,https://www.greatnorthbank.com/wp-content/uploads/PDF/OAO-Rate.pdf,,2026-09-24
6,115,First Bank of the Lake,bank,MO,3.35,,no,,26960,,not stated,not stated,,Penalty may be imposed for early withdrawal.,https://www.fblake.bank/rates/,,2026-09-24
6,116,DLP Bank,bank,FL,3.30,,no,,17734,,not stated,not stated,,1 Penalty for early withdrawal may apply.,https://www.dlp.bank/personal/personal-savings/certificates-of-deposit-cds.html,,2026-09-24
6,117,Crews Bank & Trust,bank,FL,3.28,500,no,,8021,,yes,not stated,,A penalty is imposed for early withdrawal from a Time Deposit.,https://www.crews.bank/hubfs/_CBT/PDFs/Deposits%20Rate%20Sheet.pdf,,2026-09-24
6,118,Home Bank and Trust Company,bank,KS,3.25,1000,no,,4664,,not stated,not stated,,,https://homebank-trust.com/rates/,,2026-09-24
6,118,Commerce Bank & Trust,bank,FL,3.25,,no,,57429,,not stated,not stated,,²A penalty may be imposed for early withdrawal.,https://cbtfl.com/about-us/rates/,,2026-09-24
6,118,DCU (trade name of First Technology FCU in the NCUA file),credit_union,CA,3.25,,no,,,23521,not stated,not stated,yes (one-time donation),A penalty may be imposed for early withdrawal.,https://www.dcu.org/bank/certificates/regular-certificates.html,,2026-09-24
6,121,Latino Community Credit Union,credit_union,NC,3.20,500,no,,,68430,yes,not stated,not stated,% 3.50% 18 Months $500 3.55% 3.55% 24 Months $500 3.65% 3.65% 36 Months $500 3.70% 3.70% 48 Months $500 3.73% 3.73% 60 Months $500 3.75% 3.75% The Fine Print The important details Account Limitations/Early Withdrawal Penalties.,https://latinoccu.org/products-and-services/savings/certificates-of-deposit/certificates-of-deposit/,,2026-09-24
6,121,Sallie Mae Bank,bank,UT,3.20,2500,no,,58177,,not stated,not stated,,A penalty may be charged for early withdrawal.,https://www.salliemae.com/savings/rate-table/,,2026-09-24
6,121,SECU Maryland,credit_union,MD,3.20,,no,,,66330,not stated,not stated,not stated,Early withdrawal penalties may apply.,https://www.secumd.org/more/open-account/,,2026-09-24
6,124,Justice Federal Credit Union,credit_union,VA,3.16,100000,no,,,151,not stated,not stated,not stated,Certificate is subject to penalty for early withdrawal.,https://www.jfcu.org/rates,,2026-09-24
6,125,Visions Federal Credit Union,credit_union,NY,3.15,500,no,,,17429,not stated,not stated,not stated,Should the early withdrawal amount during the life of the certificate exceed the original balance the Credit Union will require that the entire balance be withdrawn and subject to penalty.,https://www.visionsfcu.org/rates/ira-rates,,2026-09-24
6,125,"SouthState Bank, National Association",bank,FL,3.15,,no,,33555,,not stated,no (SSN required),,Early withdrawal penalties may apply.,https://www.southstatebank.com/personal/bank/interest-rates-for-personal-checking-and-savings,,2026-09-24
6,127,First PREMIER Bank,bank,SD,3.10,500,no,,6085,,not stated,not stated,,"% APY 2.70% CD Term 48 to < 60 Months 2,3 Minimum Opening Deposit $500.00 Interest Rate 2.75% APY 2.75% CD Term 60 to < 72 Months 2,3 Minimum Opening Deposit $500.00 Interest Rate 2.85% APY 2.85% 2 A penalty may be imposed for early withdra",https://www.firstpremier.com/en/personal/savings-and-cds/certificates-of-deposit/,,2026-09-24
6,128,Directions Credit Union,credit_union,OH,3.09,500,no,,,60978,not stated,not stated,no (counties),Penalty for early withdrawal.,https://directionscu.org/personal/save/savings-certificates/checking-savings-rates/,,2026-09-24
6,129,Greater Nevada Credit Union,credit_union,NV,3.06,,no,,,68228,not stated,not stated,no (Nevada),A penalty may be imposed for withdrawals before maturity.,https://www.gncu.org/banking/account-rates/,,2026-09-24
6,130,Garden Plain State Bank,bank,KS,3.02,1000,no,,19687,,not stated,not stated,,,https://www.gpsbank.com/deposit-rates,,2026-09-24
6,130,DeMotte State Bank,bank,IN,3.02,2500,no,,15883,,not stated,not stated,,APY represents Annual Percentage Yield A penalty will be imposed for funds withdrawn prior to maturity for all time deposits.,https://www.netdsb.com/rates-fees/,,2026-09-24
6,132,United Republic Bank,bank,NE,3.00,1000,no,,58359,,not stated,not stated,,"$1,000 3.92% 4.00% 11-month Special $1,000 $1,000 3.78% 3.85% Jumbo deposits are negotiable | Bank has the right to limit deposits | All rates listed may change daily ** A penalty may be assessed for early withdrawal.",https://www.unitedrepublic.bank/deposit-rates,,2026-09-24
6,132,United Savings Bank,bank,PA,3.00,1000,no,,28836,,not stated,not stated,,Penalty for early withdrawal.,https://www.unitedsavingsbank.com/certificate-of-deposit/,,2026-09-24
6,132,Commercial State Bank,bank,NE,3.00,,no,,13819,,not stated,not stated,,"% 1.45%** $25,000 - $49,999.99 1.54% 1.55%** $50,000 - and up 1.69% 1.70%** IRA 3.21% 3.25%* Rates may change after a variable account has been opened Certificates of Deposit ($1,000 Minimum Deposit, Penalty for Early Withdrawal) Type of Ac",https://www.wausabank.com/resources/rates,,2026-09-24
6,132,Northpointe Bank,bank,MI,3.00,,no,,34953,,not stated,not stated,,Early withdrawal penalties may be charged on certificates of deposit.,https://www.northpointe.com/banking/rates/,,2026-09-24
6,132,Nuvision Credit Union,credit_union,CA,3.00,,no,,,566,not stated,not stated,not stated,IRS penalties may apply for early withdrawal.,https://www.nuvisioncu.org/rates/deposit-rates-certificates,,2026-09-24
12,1,"United Midwest Savings Bank, National Association",bank,OH,4.75,,no,,32441,,no,not stated,,Penalties for early withdrawal.,https://www.umwsb.com/,"Rate from the homepage banner '6-12 Month CDs with an APY of 4.75% are here!', which carries no date or minimum; the bank's CD rates page showed no rate table when read in a browser on 2026-09-24. The page says new customers must open their first account in person at a branch.",2026-09-24
12,2,Tower Federal Credit Union,credit_union,MD,4.60,100000,no,,,8333,not stated,not stated,not stated,Withdrawal of the Share Certificate funds before the maturity date will incur an early withdrawal penalty.,https://www.towerfcu.org/rates/deposit-rates,,2026-09-24
12,3,Habib American Bank,bank,NY,4.50,,no,,25093,,yes,no (SSN required),,Substantial early withdrawal penalties apply.,https://www.hab.bank/rates,,2026-09-24
12,4,BTG Pactual Bank,bank,NY,4.45,500,no,,35154,,yes,no,,Early withdrawal penalties may apply (except No-Penalty CDs).,https://www.btgpactual.us/banking/certificates-of-deposit,,2026-09-24
12,4,EagleBank,bank,MD,4.45,,no,,34742,,not stated,not stated,,Penalty for early withdrawal may reduce earnings.,https://www.eaglebankcorp.com/personal-banking/cd/,,2026-09-24
12,6,USALLIANCE Financial,credit_union,NY,4.36,500,yes,,,17587,not stated,not stated,not stated,"Dividend Savings Certificate Accounts Certificate Account products (similar to CDs) are available for Individual Retirement Accounts (IRAs), with the exception of the 11 Month Special Certificate (No Early Withdrawal Penalty).",https://www.usalliance.org/about-us/rates/savings-rates,,2026-09-24
12,7,Navy Federal Credit Union,credit_union,VA,4.35,50,yes,,,5536,not stated,not stated,no (military and DoD),Penalties apply for early withdrawals from certificate accounts.,https://www.navyfederal.org/checking-savings/savings/certificates.html,,2026-09-24
12,7,Quorum Federal Credit Union,credit_union,NY,4.35,100,no,,,22769,yes,not stated,not stated,A penalty will be imposed if funds are withdrawn prior to maturity date.,https://www.quorumfcu.org/rates,,2026-09-24
12,7,HSBC Bank USA,bank,VA,4.35,1000,no,,57890,,yes,yes (listed countries),,A penalty may be imposed for early withdrawal.,https://www.us.hsbc.com/savings-accounts/products/interest-rates/,,2026-09-24
12,7,Raymond James Bank,bank,FL,4.35,1000,no,,33893,,not stated,not stated,,There is a substantial penalty for early withdrawal.,https://www.raymondjamesbank.com/deposit-accounts,"Rates effective September 18, 2026 per the bank's deposit page. Minimum $1,000, or $2,000 if bought through a Raymond James brokerage account. Rates by phone at 800.718.2265, option 4, or through an advisor.",2026-09-24
12,7,Bask Bank (Texas Capital Bank),bank,TX,4.35,,no,,34383,,not stated,no (SSN required),,Penalty may be imposed for early withdrawal and may reduce earnings.,https://baskbank.com/sites/default/files/Documents/Disclosures/rates-and-fee-schedule.pdf,,2026-09-24
12,7,CIBC Agility,bank,IL,4.35,,yes,,33306,,yes,Canadian residents only,,You'll have a 10-day grace period after the maturity date to withdraw your money without paying an early withdrawal fee.,https://us.cibc.com/en/agility/certificates-of-deposit.html,,2026-09-24
12,7,"T Bank, National Association",bank,TX,4.35,,no,,57703,,yes,not stated,,CDs & IRAs are subject to a early withdrawal penalty.,https://t.bank/home/current-rates/,,2026-09-24
12,14,CFG Bank,bank,MD,4.30,500,no,,34294,,yes,not stated,,A $500 minimum daily balance is required to obtain the Annual Percentage Yield (APY) * Early withdrawal penalties may apply.,https://www.cfg.bank/personal-banking/personal-deposit-rates/,,2026-09-24
12,14,First Bank of Central Ohio,bank,OH,4.30,500,no,,59249,,not stated,not stated,,Early withdrawal penalties may apply.* Indicates minimum average balance to keep in account to avoid incursion of fees.,https://www.fbcentralohio.com/rates/,,2026-09-24
12,14,First National Bank of America,bank,MI,4.30,,no,,17438,,yes,not stated,,A penalty may be imposed for early withdrawal.,https://www.fnba.com/deposit-rates/,,2026-09-24
12,14,MapleMark Bank,bank,OK,4.30,,no,,3182,,not stated,not stated,,"Early withdrawal penalties may apply, including up to six months of interest.",https://maplemarkbank.com/,,2026-09-24
12,14,Pacific National Bank,bank,FL,4.30,,yes,,26299,,not stated,no for the posted rate (separate international CD; rate not published),,Penalties may apply to early withdrawals.,https://www.pnb.com/online-specials,,2026-09-24
12,19,Bank of Deerfield,bank,WI,4.25,500,no,,2477,,not stated,not stated,,", IRAs, and HSA**⁵ Term Minimum to Open Account Minimum Balance to Obtain APY Interest Rate Annual Percentage Yield 25 Month $2,500 $2,500 4.34% 4.39% 36 Month $2,500 $2,500 4.40% 4.45% ¹ Substantial Penalty for Early Withdrawal ² Advertise",https://www.bankofdeerfield.bank/resources/deposit-rates,,2026-09-24
12,19,Bread Savings,bank,UT,4.25,1500,no,,57570,,not stated,not stated,,A penalty will be imposed for early withdrawals on CDs.,https://www.breadfinancial.com/en/bread-savings/certificates-of-deposit.html,,2026-09-24
12,19,Barclays US Online Banking,bank,DE,4.25,,no,,57203,,yes,no (SSN required),,"Certain circumstances, like print statement requests and early withdrawal of CDs, may incur fees or penalties.",https://banking.us.barclays/online-cds.html,,2026-09-24
12,19,Chevron Federal Credit Union,credit_union,CA,4.25,,no,,,24326,yes,no (SSN required),possibly (association),All certificates are subject to an early withdrawal penalty.,https://www.chevronfcu.org/rates/share-certificate,,2026-09-24
12,19,Credit Union of Southern California,credit_union,CA,4.25,,yes,,,24983,not stated,not stated,no (local or relative),A penalty may be imposed for early withdrawals.,https://www.cusocal.org/,,2026-09-24
12,19,Loyal Trust Bank,bank,GA,4.25,,no,,59182,,not stated,not stated,,Early withdrawal penalty may apply.,https://loyaltrustbank.com/wp-content/uploads/2026/08/Aug-3-Rate-Sheet-LTB.pdf,,2026-09-24
12,19,Northeast Bank,bank,ME,4.25,,no,,19690,,yes,not stated,,Early withdrawal penalties may apply.,https://www.northeastbank.com/personal-cds-iras,,2026-09-24
12,19,Popular Direct,bank,NY,4.25,,no,,34967,,yes,not stated,,A penalty will be imposed for early withdrawal.,https://www.populardirect.com/,,2026-09-24
12,19,Salem Five Direct,bank,MA,4.25,,yes,,23296,,yes,not stated,,onth CD Open the 7-month CD CD Special 4.00% APY 1 12-month CD Open the 12-month CD CD Special 4.25% APY 1 15-month CD Open the 15-month CD CD Special 4.30% APY 1 18-Month CD Open the 18-month CD 1 A penalty will be imposed for premature wi,https://www.salemfivedirect.com/special-cd-promotion/,,2026-09-24
12,28,Gulf Coast Business Bank,bank,FL,4.24,5000,no,,59281,,not stated,not stated,,Early withdrawal penalties may apply.,https://www.gcbbswfl.com/resources/rates,,2026-09-24
12,29,Sallie Mae Bank,bank,UT,4.20,2500,no,,58177,,not stated,not stated,,A penalty may be charged for early withdrawal.,https://www.salliemae.com/savings/rate-table/,,2026-09-24
12,29,Bank of Utah,bank,UT,4.20,,no,,17159,,yes,not stated,,"Ability to Add Funds to Account After Initial Deposit: No Ability to Make Early Withdrawals from Account: Not without penalty How to Open an Account: 3-Month, 6-Month, 1-Year, 2-Year, and all terms 3 years and longer can be opened online ; ",https://www.bankofutah.com/personal/checking-savings/certificate-of-deposit-accounts,,2026-09-24
12,29,Pibank,bank,FL,4.20,,no,,25258,,yes,no (SSN required),,Penalties may apply for early withdrawal of principal before maturity.,https://www.pibank.com/pibank-cd/,,2026-09-24
12,32,Bank of the Flint Hills,bank,KS,4.18,,no,,4791,,not stated,not stated,,A penalty may be imposed for early withdrawal.,https://www.bfh.bank/personal/deposit-rates,,2026-09-24
12,33,Sidney Federal Credit Union,credit_union,NY,4.17,,no,,,6011,yes,not stated,no (counties),,https://sfcuonline.org/accounts/share-certificates/,,2026-09-24
12,34,Farmers and Merchants Bank,bank,NE,4.16,,no,,14275,,yes,not stated,,ates of Deposit Learn More Month Rate APY 3 Month 4.00% 4.06% 6 Month 4.00% 4.06% 12 Month 4.10% 4.16% 24 Month 4.20% 4.27% 36 Month 4.30% 4.37% 48 Month 4.30% 4.37% 60 Month 4.30% 4.37% Penalty with early withdrawal Find Us Contact Us Find,https://www.fmbmilligan.com/services-tools/tools/rates.html,,2026-09-24
12,35,Ally Bank,bank,UT,4.15,0,no,,57803,,not stated,no (SSN required),,"High Yield CD AVAILABLE TERMS 2.7% correct as of 09/23/26 Choose from a variety of terms each offering a competitive, fixed rate Early withdrawal penalty will apply APY is fixed for the term of the CD but subject to change upon renewal No m",https://www.ally.com/bank/cd-rates/,,2026-09-24
12,35,Alliant Credit Union,credit_union,IL,4.15,75000,no,,,67955,not stated,no,yes (foundation),"If you withdraw funds from an Alliant certificate before the maturity date, you may incur an early withdrawal penalty, per the table below.",https://www.alliantcreditunion.org/bank/credit-union-certificate,,2026-09-24
12,35,Climate First Bank,bank,FL,4.15,,no,penalty-free,59257,,not stated,not stated,,Personal CDs Business CDs Special Promotions 6-Month Penalty-Free CD 4.33% APY 1 Short-term growth with a strong return $500 minimum deposit No penalty for early withdrawals 12-Month Penalty-Free CD 4.15% APY 2 Lock in a great rate for a fu,https://www.climatefirstbank.com/cd,,2026-09-24
12,35,Enterprise Bank,bank,NE,4.15,,no,,33380,,not stated,not stated,,Early withdrawal penalties may apply.,https://www.enterprise.bank/personal-banking/account-services/deposit-rates,,2026-09-24
12,35,Gala Bank,bank,FL,4.15,,no,,59358,,not stated,not stated,,,https://www.gala.bank/deposits/cds-and-iras,,2026-09-24
12,35,Live Oak Bank,bank,NC,4.15,,no,,58665,,not stated,no,,Account Fees: Online Banking Fee: No Charge Monthly Interest Disbursements Fee: No Charge Early Withdrawal Penalties: Early Principal Withdrawal of a CD with a term less than 24 months: 90 Days of Simple Interest Early Principal Withdrawal ,http://www.liveoakbank.com/personal-cd-accounts/?utm_source=vanity-url&utm_term=cd-rates,,2026-09-24
12,35,State Bank of Texas,bank,TX,4.15,,no,,27074,,not stated,not stated,,Penalty for early withdrawal will apply and will reduce the earnings on the certificate.,https://sbt.bank/,,2026-09-24
12,42,Synchrony Bank,bank,UT,4.10,0,no,,27314,,not stated,not stated,,% APY * High Yield Savings (HYS) No minimum balance Explore High Yield Savings % APY * Money Market Account (MMA) No minimum balance Explore Money Market Account FAQs View all FAQs Is there an early withdrawal penalty for CDs? Penalty Amoun,https://api.syf.com/v1/retailBank/products?serviceLevel=0000000,,2026-09-24
12,42,Service Credit Union,credit_union,,4.10,500,no,,,,not stated,not stated,not stated,Penalty for early withdrawal.,https://servicecu.org/rates/,,2026-09-24
12,42,Newtek Bank,bank,FL,4.10,,no,,18734,,yes,not stated,,Penalties may apply to early withdrawals.,https://www.newtekbank.com/open-account/,,2026-09-24
12,45,Balboa Thrift and Loan Association,bank,CA,4.08,,no,,26704,,not stated,not stated,,An early withdrawal penalty equal to three (3) months of interest may be imposed for early withdrawals.,https://www.balboathrift.com/deposits/deposit-rates,,2026-09-24
12,45,Merchants Bank of Indiana,bank,IN,4.08,,no,flex,8056,,not stated,not stated,,026 Choose from the following terms: 12 Month Flex Index CD Open Flex Index CD online Account Details: Minimum balance to open CD is $1000 Must maintain minimum balance of $1000 every day to earn APY Penalty may be imposed for early withdra,https://bankmerchants.com/certificates-of-deposit/,,2026-09-24
12,47,Beach Cities Commercial Bank,bank,CA,4.07,2500,no,,59290,,not stated,not stated,,Any withdrawal of principal or interest prior to maturity will reduce overall earnings and trigger an Early Withdrawal Penalty.,https://beachcitiescb.com/Rates/,,2026-09-24
12,47,Community Commerce Bank,bank,CA,4.07,,no,,26363,,not stated,not stated,,4 Substantial penalty for early withdrawal.,https://ccombank.com/deposits/,,2026-09-24
12,47,Putnam County State Bank,bank,MO,4.07,,no,,22895,,not stated,not stated,,,https://www.putnamcountystatebank.com/cd-rates,,2026-09-24
12,50,Freedom Bank of Southern Missouri,bank,MO,4.06,250,no,,35276,,not stated,not stated,,"Savings ++ $5 $0 0.40% 0.40% Business Savings ++ $100 $0 - - Tier 1 <$50,000.00 - $0 0.35% - Tier 2 $50,000.00 - $50,000 0.45% - Tier 3 $100,000.00 - $100,000 0.55% - APY = Annual Percentage Yield *A penalty may be imposed for early withdra",https://www.freedombk.com/deposit,,2026-09-24
12,51,NASA Federal Credit Union,credit_union,MD,4.05,50,no,,,6328,not stated,not stated,not stated,Limitations: Early withdrawal penalties apply and may reduce earnings.,https://www.nasafcu.com/rates-and-fees/checking-savings/share-certificate-rates,,2026-09-24
12,51,Signal Financial FCU,credit_union,MD,4.05,500,no,,,5571,not stated,not stated,yes (donation),Penalties apply for early withdrawal.,https://www.signalfinancialfcu.org/deposit-rates,,2026-09-24
12,51,Rising Bank (Midwest BankCentre),bank,MO,4.05,1000,no,,1058,,yes,not stated,,Penalty for early withdrawal may apply.,https://www.risingbank.com/rates/,,2026-09-24
12,51,The Corner Stone Bank,bank,MO,4.05,1000,no,,9388,,not stated,not stated,,"000 3.20% 3.25% Regular IRAs $100 $0 4.75% 4.75% Roth IRAs $100 $0 4.75% 4.75% Educational IRAs $100 $0 1.25% 1.25% 17 Month Special $1,000 $1,000 4.12% 4.20% *Fees could reduce earnings on accounts *Early withdrawal penalties will or may b",https://www.thecornerstonebank.net/deposits/rates,,2026-09-24
12,51,Access Bank,bank,NE,4.05,,yes,,58727,,not stated,not stated,,penalty may be imposed for early withdrawal.,https://www.accessbank.com/for-you/accounts/interest-rates,,2026-09-24
12,51,Banesco USA,bank,FL,4.05,,no,,57815,,yes,no for the posted rate (separate international CD; rate not published),,"Certificate of Deposit An account that earns a fixed rate of interest for a fixed term Open online $1,000 minimum opening balance No monthly maintenance fee $0.01 minimum balance to earn interest Early withdrawal penalties may apply 9 Zelle",https://banescousa.com/personal/deposits/us/,,2026-09-24
12,51,Financial Federal Bank,bank,TN,4.05,,no,,31840,,not stated,not stated,,Early withdrawal penalty will apply.,https://www.finfedmem.com/cds,,2026-09-24
12,58,Leighton State Bank,bank,IA,4.04,,no,,10118,,not stated,not stated,,p 3.75% 3.80% Quarterly 4 Year Step 3.50% 3.55% Quarterly 5 Year 3.50% 3.53% Semi-Annually * Annual Percentage Yield (APY) Rates effective 8/24/2026 and subject to change $500 minimum balance for CDs Early withdrawal penalties may apply.,https://leightonbank.com/bank-with-us/personal/cds-iras-and-hsas/,,2026-09-24
12,59,One American Bank,bank,SD,4.01,,no,,6078,,not stated,not stated,,Substantial penalty for early withdrawal.,https://oneamericanbank.com/rate/cd,,2026-09-24
12,60,Bank5 Connect (BankFive),bank,MA,4.00,500,no,,23286,,not stated,no (SSN required),,Penalty for early withdrawal.,https://www.bank5connect.com/cds,,2026-09-24
12,60,Citizens Bank & Trust Company,bank,KY,4.00,500,no,,15675,,not stated,not stated,,Penalty may be imposed for early withdrawal.,https://www.cbtky.com/personal/certificate-of-deposit-rates,,2026-09-24
12,60,First Community Credit Union,credit_union,MO,4.00,500,no,,,67619,not stated,no,not stated (employer or association groups),Certificates have substantial penalties for early withdrawal.,https://www.firstcommunity.com/services-tools/tools/rates.html,,2026-09-24
12,60,JetStream FCU,credit_union,FL,4.00,500,no,,,24718,yes,not stated,no (local),You have seven (7) days after the maturity date to withdraw or transfer the funds without incurring an early withdrawal penalty.,https://jetstreamfcu.org/our-rates/savings-rates,,2026-09-24
12,60,Legacy Bank,bank,CA,4.00,1000,no,,59204,,yes,not stated,,An early withdrawal penalty will be imposed.,https://www.legacybankca.com/personal/online-account-opening-rates,,2026-09-24
12,60,Home Savings Bank,bank,UT,4.00,10000,no,,26798,,yes,not stated,,Early withdrawal penalties may apply on Certificate of Deposit accounts.,https://www.hsbutah.com/rates,,2026-09-24
12,60,American Pride Bank,bank,GA,4.00,,no,,58584,,not stated,not stated,,Substantial penalty for early withdrawal.,https://www.americanpride.bank/personal/open-now-cd-rates,,2026-09-24
12,60,FinWise Bank,bank,UT,4.00,,no,,35323,,yes,not stated,,‡ An early withdrawal penalty may apply for all Certificates of Deposit.,https://www.finwise.bank/wp-content/uploads/2026/04/Online-FW-Savings-Certificate-of-Deposit-Rates-04-10-2026.pdf,,2026-09-24
12,60,Producers Bank & Trust,bank,AR,4.00,,no,,11242,,not stated,not stated,,,https://producers.bank/,,2026-09-24
12,60,Technology Credit Union,credit_union,CA,4.00,,no,,,68383,not stated,not stated,not stated,Penalties will be imposed for early withdrawals.,https://www.techcu.com/Resources/Rates,,2026-09-24
12,60,VisionBank,bank,MN,4.00,,no,,58063,,not stated,not stated,,"nth a,c Create Account 3.94% 4.00% 30 Month a,c Create Account 3.94% 4.00% 36 Month a,c Create Account 3.94% 4.00% 48 Month a,c Create Account 3.94% 4.00% 60 Month a,c Create Account 3.94% 4.00% a) A penalty may be imposed for early withdra",https://bankwithvision.com/rates/,,2026-09-24
12,71,Northrop Grumman FCU,credit_union,CA,3.97,40000,no,,,24292,not stated,not stated,yes (association),",500 30 Month 3.65% 3.71% $2,500 36 Month 3.75% 3.81% $2,500 48 Month 3.75% 3.81% $2,500 60 Month 3.78% 3.84% $2,500 84 Month 3.30% 3.35% $2,500 Open an Account **A penalty will or may be imposed for early withdrawal *If minimum balance req",https://www.ngfcu.us/rates/savings-rates/certificates,,2026-09-24
12,72,Heritage Bank Minnesota,bank,MN,3.96,250,no,,8865,,not stated,not stated,,"CD & IRA Interest Rates Rates current as of December 18, 2025 TYPE OF PRODUCT MINIMUM DEPOSIT INTEREST RATE Annual Percentage Yield (APY)* EARLY WITHDRAWAL PENALTIES (Minimum $25) 3 Month Fixed CD $250 4.10% 4.16% 91 Days Interest 6 Month F",https://heritagebankmn.com/personal/cds-iras/,,2026-09-24
12,72,State Savings Bank,bank,IA,3.96,2000,no,,248,,not stated,not stated,,Substantial penalty for early withdrawal.,https://www.ssb.bank/personal/current-rates,,2026-09-24
12,74,Credit Human,credit_union,TX,3.95,500,no,,,24382,not stated,not stated,not stated,0 and up 3.89% 3.96% 36 - 59 months $500.00 and up 3.91% 3.98% 60 - 83 months $500.00 and up 3.93% 4.00% 84 - 119 months $500.00 and up 3.95% 4.02% 120 months $500.00 and up 3.98% 4.05% Disclosures A penalty will be imposed for early withdr,https://credithuman.com/personal/cds/share-certificates/,,2026-09-24
12,74,KS StateBank,bank,KS,3.95,500,no,,19899,,yes,no,,You may be charged a substantial penalty for early withdrawals.,https://www.ksstate.bank/resources/deposit-rates,,2026-09-24
12,74,Prime Alliance Bank,bank,UT,3.95,500,no,,57920,,yes,not stated,,Penalties assessed for early withdrawal.,https://www.primealliance.bank/cds-2,,2026-09-24
12,74,"BankUnited, National Association",bank,FL,3.95,,no,,58979,,yes,no (SSN required),,"Yes, but early withdrawals may be subject to penalties depending on the CD term and account agreement.",https://www.bankunited.com/personal/savings-money-market-and-cd-accounts/certificate-of-deposit-accounts,,2026-09-24
12,78,Compass Savings Bank,bank,PA,3.92,500,no,,29430,,not stated,not stated,,Months Minimum Balance Rate APY* 6 $500 3.75% 3.82% 12 $500 3.85% 3.92% 18 $500 3.50% 3.56% 24 $500 3.50% 3.56% 36 $500 3.15% 3.20% 60 $500 3.15% 3.20% * Annual Percentage Yield Penalty may apply for early withdrawal and reduce earnings.,https://compassbank.us/savings-rates/,,2026-09-24
12,78,"Community Bank & Trust, Waco, Texas",bank,TX,3.92,,yes,,17108,,not stated,not stated,,Penalty for early withdrawals.,https://www.cbtwaco.bank/special-rate,,2026-09-24
12,80,Beacon Community Bank,bank,SC,3.91,,no,,59106,,not stated,not stated,,A penalty of 5 months interest on the amount withdrawn will be imposed for early withdrawals on terms equal to 5 months.,https://www.beacon.bank/personal/banking/interest-rates,,2026-09-24
12,81,Marcus by Goldman Sachs,bank,NY,3.90,500,no,,33124,,yes,not stated,,Choose the term that works for you Annual Percentage Yield Minimum Deposit Early Withdrawal Penalty Annual Percentage Yield Minimum Deposit Early Withdrawal Penalty 6 months High-Yield CD 3.95% $500 Yes 9 months High-Yield CD 4.30% $500 Yes,https://www.marcus.com/us/en/savings/high-yield-cds,,2026-09-24
12,81,Mountain America Credit Union,credit_union,UT,3.90,500,no,,,24692,not stated,not stated,no (listed states),,https://www.macu.com/rates/certificates,,2026-09-24
12,81,Twin Cedars Bank,bank,IA,3.90,500,no,,1556,,yes,not stated,,Early withdrawal penalties may apply.,https://www.twincedars.bank/bank-account-rate-sheet,,2026-09-24
12,81,Celtic Bank,bank,UT,3.90,,no,,57056,,not stated,not stated,,"A penalty will be imposed for early withdrawal on all Certificates of Deposit, with few exceptions.",https://www.celticbank.com/saving-cds,,2026-09-24
12,81,Community First National Bank,bank,KS,3.90,,no,,35585,,not stated,not stated,,A penalty may be imposed for early withdrawal on any CD.,https://www.cfnb.bank/document-center.cfm?fx=DEMKIE6MTPPJJWDD,,2026-09-24
12,81,Quaint Oak Bank,bank,PA,3.90,,no,,35497,,not stated,not stated,,Certificates of deposit accounts carry a substantial penalty for early withdrawal.,https://www.quaintoak.com/personal-banking/deposit-products/cd-account/2-year-cd/,,2026-09-24
12,87,Freedom Bank,bank,NJ,3.85,500,yes,,58712,,not stated,not stated,,Early withdrawal penalties may apply.,https://www.fbnj.com/deposit-rates/,,2026-09-24
12,87,Stearns Bank National Association,bank,MN,3.85,500,no,,10988,,not stated,not stated,,3 No penalty may be imposed for early withdrawal.,https://www.stearnsbank.com/personal/cds,,2026-09-24
12,87,Ent Credit Union,credit_union,,3.85,,no,,,,not stated,not stated,not stated,Individual Retirement Account (IRA) Annual contribution limits apply and penalties may apply for early withdrawal.,https://www.ent.com/rates/,,2026-09-24
12,90,The Croghan Colonial Bank,bank,OH,3.82,500,no,,13341,,yes,not stated,,Early withdrawal penalties apply.,https://croghan.bank/resources/rates,,2026-09-24
12,90,Citizens National Bank of Texas,bank,TX,3.82,,no,,5574,,not stated,not stated,,A penalty may be assessed for early withdrawal.,https://www.cnboftexas.com/,,2026-09-24
